연번,사업장명,주소,위도,경도,데이터기준일자
1,하남공단종합상사,광주광역시 광산구 하남산단4번로 172 (장덕동 992-11),35.19069892,126.8090153,2024-04-30
2,알리바이(24시편의점),"광주광역시 광산구 왕버들로 11, 가동 101호 (장덕동 505-86)",35.20258699,126.8119257,2024-04-30
3,주)에스엠마트남동,"광주광역시 광산구 장덕로95번길 46 (장덕동 1102, 수완자이아파트 정문)",35.19763503,126.8198529,2024-04-30
4,씨유하남8번로점,"광주광역시 광산구 하남산단천변우로 28, 1층 (도천동 622-2)",35.20865807,126.8134568,2024-04-30
5,미니스톱하남도천점,광주광역시 광산구 하남산단8번로 169 기업은행 옆,35.20914148,126.8142289,2024-04-30
6,에이젯시스템,광주광역시 광산구 사암로 860-10 (도천동 32-12),35.21629857,126.8247543,2024-04-30
7,S마트,광주광역시 광산구 비아중앙로 24 (비아동 66-23),35.22104063,126.8249853,2024-04-30
8,지에스25 비아일신점,광주광역시 광산구 비아중앙로 29-1 (비아동 89-20),35.22161966,126.8246139,2024-04-30
9,비아농협,광주광역시 광산구 비아중앙로 36 (비아동 86-1),35.22206769,126.8250274,2024-04-30
10,미니스톱,광주광역시 광산구 비아로12번길 10 비아119센터 앞 (비아동 707-1),35.22076156,126.8236125,2024-04-30
11,Y영암마트 중흥점,광주광역시 광산구 비아로62번길 7 (도천동627-1(중흥아파트상가)),35.21984328,126.8178367,2024-04-30
12,코코마트,광주광역시 광산구 수등로258번길 3-11 (신가동 1017-13),35.18482995,126.8384478,2024-04-30
13,홈마트비아점,광주광역시 광산구 비아안길 70-17 (비아동 715-6(비아중흥108동 앞)),35.22025999,126.8203186,2024-04-30
14,영암마트(첨단호반점),"광주광역시 광산구 월계로 59 (월계동 763-6, 호반2차@ 상가 107호)",35.21276028,126.8323661,2024-04-30
15,GS25월계원룸,"광주광역시 광산구 월계로34번길 20 (월계동 787-2, (성광교회옆길)->150m)",35.21008443,126.8338633,2024-04-30
16,마트1004,"광주광역시 광산구 첨단내촌로11번길 16-1 (월계동 799-5, 1층)",35.20889867,126.8356881,2024-04-30
17,OK마트,광주광역시 광산구 첨단내촌로35번길 16-1 (월계동 807-7),35.2101707,126.8361226,2024-04-30
18,지에스25 월계크라운점,광주광역시 광산구 첨단내촌로 71(월계동 772-8),35.21289643,126.8362161,2024-04-30
19,세븐일레븐,"광주광역시 광산구 첨단내촌로 59, 마운틴마트-->첨단중 70m",35.2120252,126.836895,2024-04-30
20,GS25 첨단원룸점,"광주광역시 광산구 첨단내촌로11번길 8-16 (월계동 797-1, 1층)",35.20896795,126.836665,2024-04-30
21,월드할인마트,"광주광역시 광산구 첨단중앙로67번길 78 (월계동 833-14, 산월초 뒷편4거리)",35.21157802,126.8384972,2024-04-30
22,DC마트,"광주광역시 광산구 월계로150번길 30, (월계동 826-11, 응암공원 좌측뒷편)",35.21194301,126.8416585,2024-04-30
23,세븐일레븐장고분점,광주광역시 광산구 첨단내촌로70번길 102 (월계동 827-1),35.21305881,126.8419488,2024-04-30
24,남양마트,"광주광역시 광산구 월계로 137 (월계동 765-6, 남양아파트 정문 옆)",35.21363222,126.8408971,2024-04-30
25,GS25광주산월점,"광주광역시 광산구 월계로130번길 33 (월계동 821-10, 1층)",35.21196964,126.8397044,2024-04-30
26,FM마트(첨단점),광주광역시 광산구 월계로 117-32 (월계동 765-9),35.21587824,126.8409252,2024-04-30
27,롯데쇼핑(주)롯데마트첨단,광주광역시 광산구 첨단강변로99번길 22 (쌍암동 694-3),35.21677488,126.8519173,2024-04-30
28,세븐일레븐,광주광역시 광산구 첨단중앙로152번길 11 (쌍암동 659-6),35.21914148,126.8427831,2024-04-30
29,CU첨단일등점,광주광역시 광산구 첨단중앙로152번길 21 (쌍암동 660-6),35.21914341,126.8434329,2024-04-30
30,세븐일레븐 광주월계제일점,"광주광역시 광산구 첨단중앙로124번길 65 (월계동 873-10, 첨단2동 진입로)",35.21665804,126.8457605,2024-04-30
31,마운틴마트엘씨타워점,"광주광역시 광산구 월계로 169 (월계동 890-4, 신양빌딩 101호 (첨단부영1차 앞))",35.21366804,126.8440447,2024-04-30
32,부영마트(수완지구),광주광역시 광산구 장덕동 1309(장덕부영1차상가),35.19327163,126.8114773,2024-04-30
33,세븐일레븐 광주수완진흥점,"광주광역시 광산구 장덕로6번길 35 (장덕동 1306, 진흥더루벤스상가)",35.19632734,126.8110946,2024-04-30
34,세븐일레븐 광주쌍암제일점,"광주광역시 광산구 첨단중앙로170번길 12(쌍암동, 1층)",35.22052178,126.8424129,2024-04-30
35,비타민마트,광주광역시 광산구 비아로 177-3 (비아동 114-4),35.22344744,126.8234508,2024-04-30
36,cu하남공구상가점,광주광역시 광산구 장덕동 992-9,35.18923531,126.8090222,2024-04-30
37,에프엠마트 수완,광주광역시 광산구 풍영로200번길 1 (장덕동 1603),35.18938583,126.8144694,2024-04-30
38,씨에쓰디주식회사,광주광역시 광산구 풍영로329번길 19(장덕동),35.20036283,126.8130994,2024-04-30
39,월광식자재,광주광역시 광산구 첨단중앙로116번길 35 (월계동 877-11),35.21601148,126.8448967,2024-04-30
40,올리브마트,"광주광역시 광산구 첨단내촌로70번길 55 (월계동 769-4, 101호)",35.21337813,126.8393251,2024-04-30
41,CU첨단중앙점,광주광역시 광산구 첨단강변로99번길 46 (쌍암동 694-48),35.21575365,126.8500905,2024-04-30
42,에스엠마트남동,광주광역시 광산구 장덕로95번길 46 (장덕동 1102),35.19763503,126.8198529,2024-04-30
43,유한회사 고기왕,"광주광역시 광산구 첨단중앙로181번길 5, (월계동 758-4)",35.22101931,126.8408202,2024-04-30
44,지에스(GS)25 첨단월계점,광주광역시 광산구 첨단중앙로67번길 8-2 (월계동 829-8),35.2115612,126.8424253,2024-04-30
45,마켓 진달래,광주광역시 광산구 선운로 18 (선암동 738),35.14864262,126.7714267,2024-04-30
46,ALL마켓,광주광역시 광산구 풍영로 294-23 (장덕동 1111),35.19892811,126.8170261,2024-04-30
47,미니스톱첨단숭덕2점,광주광역시 광산구 월계로118번길 10 (월계동 816-2),35.21310801,126.8382583,2024-04-30
48,한우목장마트,광주광역시 광산구 산월로 80 (산월동 886-2 부영7차아파트 상가 104호),35.20700942,126.8465969,2024-04-30
49,슈퍼데이마트첨단점,광주광역시 광산구 산월로 80 (산월동 886-2 부영7차 상가 103호),35.20700942,126.8465969,2024-04-30
50,알리바이수완편의점,광주광역시 광산구 풍영로229번안길 2-10 (장덕동 1330),35.19302776,126.8141862,2024-04-30
51,씨유수완드림점,"광주광역시 광산구 수완로50번길 11(수완동, 1층)",35.18963398,126.8295018,2024-04-30
52,씨유 장덕영신점,광주광역시 광산구 장신로20번길 14-2 (장덕동 1532),35.18975401,126.812235,2024-04-30
53,세븐일레븐 안청점,광주광역시 광산구 임곡로 653 (안청동 443-1),35.2168437,126.801782,2024-04-30
54,세븐일레븐 광주첨단두경점,"광주광역시 광산구 첨단중앙로152번길 31, 1층 101호 (쌍암동 667-1)",35.21932684,126.8442797,2024-04-30
55,세븐일레븐테크노파크,광주광역시 북구 첨단벤처로108번길 39 (월출동 978-9),35.23080758,126.8632147,2024-04-30
56,주)찬해영암마트,광주광역시 광산구 첨단중앙로181번길 48 (월계동 756-10),35.22002133,126.8362829,2024-04-30
57,CU비아안길점,"광주광역시 광산구 비아안길 59 (비아동 694-5, 1층)",35.22108824,126.8193505,2024-04-30
58,더원마트,광주광역시 광산구 비아로62번길 12 (도천동 628-1),35.21987458,126.8194148,2024-04-30
59,씨유광주진곡산단점,광주광역시 광산구 진곡산단2번로 47-59 (오선동 648),35.20022609,126.7906229,2024-04-30
60,지마트비아점,광주광역시 광산구 비아로 47 (도천동 77-26),35.21936682,126.8196358,2024-04-30
61,와이마트하남드림점,"광주광역시 광산구 목련로 41, (산정동 1056, 상가동 101)",35.17518674,126.8021355,2024-04-30
62,주)에프엠마트수완,"광주광역시 광산구 장덕로95번길 16 (장덕동 1105, 207동 109호)",35.19604125,126.8202734,2024-04-30
63,월드마트,광주광역시 광산구 수완로50번길 42-2 (수완동 1710),35.18906698,126.8307499,2024-04-30
64,에프엠마트,광주광역시 광산구 목련로 67 (산정동 940-3),35.17253371,126.8052058,2024-04-30
65,자연속에마켓,광주광역시 광산구 풍영로330번길 15(장덕동),35.20204144,126.8157011,2024-04-30
66,플러스마트,"광주광역시 광산구 산월로 15 (월계동 843-6, 1층)",35.20899803,126.8389953,2024-04-30
67,우리동네마트,광주광역시 광산구 월계로150번길 30 (월계동 826-11),35.21194301,126.8416585,2024-04-30
68,미니스톱 수완고실점,"광주광역시 광산구 풍영로330번길 15, 상가동 101-2호(장덕동 1098)",35.20204144,126.8157011,2024-04-30
69,빅슈퍼마켓,"광주광역시 광산구 풍영로229번길 49 (장덕동 1422, 1층)",35.19200368,126.8113493,2024-04-30
70,위드미광산진곡산단점,광주광역시 광산구 진곡산단2번로 58-5(오선동),35.19987447,126.7915591,2024-04-30
71,위드미 수완장덕점,"광주광역시 광산구 풍영로169번길 16, 101동 107~108호(장덕동,숲안애)",35.1867635,126.8135774,2024-04-30
72,지에스25 하남삼성점,"광주광역시 광산구 하남산단6번로 80, 상가동 1층 105호(오선동 273-2)",35.20211408,126.8038184,2024-04-30
73,세븐 광주첨단한양점,"광주광역시 광산구 월계로 223-17, (쌍암동 694-115, 302동 101호)",35.21490126,126.8495917,2024-04-30
74,미니스톱 광산비아점,"광주광역시 광산구 비아로 12 (비아동 707-11, 1층 1호)",35.22045748,126.8236321,2024-04-30
75,(유)다함께,광주광역시 광산구 용아로379번길 30(하남동),35.17706333,126.8025041,2024-04-30
76,코스코마트,광주광역시 광산구 첨단내촌로35번길 1 (월계동 804-2),35.20995954,126.8370704,2024-04-30
77,세븐일레븐 광주 월계중앙점,광주광역시 광산구 첨단중앙로106번길 23(월계동),35.21502137,126.8443542,2024-04-30
78,FM마트,"광주광역시 광산구 신창로 8-20, 1층(신가동 994-1)",35.18580503,126.8391897,2024-04-30
79,햇살마트(SM),"광주광역시 광산구 첨단중앙로181번길 104 (월계동 755-5, 건영@ 1014-104)",35.21874626,126.8289042,2024-04-30
80,세븐일레븐첨단메가점,"광주광역시 광산구 앰코로 25 (쌍암동 689-8, 104호)",35.22038262,126.8525786,2024-04-30
81,씨유 광주고룡점,광주광역시 광산구 진곡산단중앙로 250 (고룡동 1021),35.21039848,126.7803007,2024-04-30
82,씨유 월계원룸점,광주광역시 광산구 첨단내촌로 53-20 (월계동 809-7),35.21115124,126.8360865,2024-04-30
83,세븐일레븐광주진곡점,광주광역시 광산구 진곡산단5번로 43-12 (진곡동 520),35.209153,126.7829567,2024-04-30
84,에브리마켓 주식회사,광주광역시 광산구 진곡산단2번로 87 (오선동 623),35.20184501,126.7895822,2024-04-30
85,이마트24 장덕대방점,"광주광역시 광산구 장신로50번길 4, 1층 105호(장덕동)",35.1905613,126.8154235,2024-04-30
86,지에스25 광주여대타운점,"광주광역시 광산구 여대길 290, 상가동 112~114호(산정동 1140)",35.16683508,126.7945206,2024-04-30
87,리빙플러스,광주광역시 광산구 목련로 75 (산정동 941-3),35.17245755,126.8061094,2024-04-30
88,씨유 광주신창점,광주광역시 광산구 신창로48번길 35 (신창동 1201-5),35.18971589,126.8390351,2024-04-30
89,미니스톱 쌍암점,"광주광역시 광산구 첨단중앙로170번길 41 (쌍암동 664-4, 1층 103호)",35.22084192,126.8441366,2024-04-30
90,주식회사와이마트수완,광주광역시 광산구 임방울대로215번길 8 (신가동 1287),35.18080496,126.8170346,2024-04-30
91,에스엠마트 첨단점,"광주광역시 광산구 첨단중앙로68번길 99 (산월동 883-1, 호반리젠시빌상가 120)",35.21248237,126.8487728,2024-04-30
92,씨유 첨단천사,"광주광역시 광산구 첨단내촌로11번길 16-1 (월계동 799-5, 1층)",35.20889867,126.8356881,2024-04-30
93,데이앤데이수완점,"광주광역시 광산구 수완로 67, 1층일부(후면소쪽부)(수완동)",35.19130642,126.8285254,2024-04-30
94,지에스25 첨단도휘점,"광주광역시 광산구 월계로 223-20, 1층 110호 (쌍암동 694-70, 첨단도휘에드가2차)",35.21525281,126.8504149,2024-04-30
95,씨유 성덕미소점,광주광역시 광산구 장덕로 51 (장덕동 1073),35.19506291,126.8149399,2024-04-30
96,GS25 수완원룸점,광주광역시 광산구 수완로50번길 55 (수완동 1600),35.18847274,126.8312824,2024-04-30
97,위드미광주송촌점,광주광역시 광산구 송촌길 1 (송촌동 276-1),35.13870556,126.7735807,2024-04-30
